Part/Designator,Manufacture Part Number / Seeed SKU Number,Quantity
C1,302010024,1
C10,CC0603KRX7R9BB122,1
C11,CC0603JRNPO9BN560,1
"C12,C13",302020022,2
C15,UMK107B7474KA-TR,1
C16,302010076,1
C17,302010006,1
"C18,C21,C35,C36",302010037,4
C19,C0603C569C5GACTU,1
"C2,C6",302010111,2
C20,302010053,1
C22,302020011,1
"C23,C24,C25,C26,C27",302010024,5
"C28,C29",302010001,2
"C3,C4",302010178,2
"C30,C31",302010007,2
"C5,C32,C33,C34",302010139,4
"C7,C8,C14",302010005,3
C9,T495C686M016ATE250,1
D1,CMSH3-40MA TR13,1
D3,BZT52C10-7-F,1
D4,304010007,1
D5,304090044,1
D6,304090075,1
D7,304090043,1
D8,304010013,1
F2,307010002,1
IC1,ICM7555IBAZ,1
IC2,MCP23017-E/SS,1
IC3,SN74AHC1G04DCKR,1
J1,320110029,1
J12,320020016,1
"J18,J19",320110031,2
"J3,J10,J11,J13,J14,J15,J16,J17,J20",320110026,9
K1,G5LE-1 DC3,1
"L2,L6",SRR1240-100M,2
L3,SRR1240-470M,1
L4,Do Not Place (DNP),0
L5,Do Not Place (DNP),0
Q2,305010017,1
"Q3,Q4",305010018,2
Q5,305030010,1
R1,WSLP1206R0500FEA,1
R10,RC0603FR-07221KL,1
R13,CRCW06031M02FKEA,1
R15,RC0603FR-07113KL,1
R16,RC0603FR-074R7L,1
R17,RC0603FR-0716K5L,1
R18,301010157,1
R19,RC0603FR-079K09L,1
"R2,R11",301010196,2
"R20,R28,R29,R30,R31",301010298,5
R21,RC0603FR-07453KL,1
R22,301010202,1
"R23,R46,R47,R49,R57,R58,R59,R60,R61,R62,R63,R64",301010251,12
"R25,R27",RC0603FR-0727RL,2
R3,RC0603FR-079K09L,1
"R32,R34",301010163,2
"R4,R12,R14,R26,R33,R35,R36,R37,R38,R39,R40,R41,R48",301010299,13
R42,301010102,1
R5,RT0603BRD07196KL,1
R50,301010198,1
R6,CRCW0603154KFKEA,1
"R7,R24",ST4ETA104,2
R8,RC0603FR-07330KL,1
R9,RC0603FR-0730KL,1
U1,LT3652EMSE#PBF,1
U10,"74LVC2G02DP,125",1
U11,LT3469ETS8#TRMPBF,1
U12,LTC3122EMSE#PBF,1
U2,ESP8266EX,1
"U21,U23,U24,U25,U26,U27,U28,U29",TLP170D(F),8
U22,CD74HC238PWR,1
U3,AP2112K-3.3TRG1,1
U5,AT25SF041-SSHD-T,1
U6,306060007,1
U7,FT231XS-U,1
U8,LTC6240CS8#PBF,1
U9,LT1783CS6#TRMPBF,1
USB,320010005,1
Y1,ASEMB-26.000MHZ-LY-T,1
